API Error for pair (00f45fbf-39b2-444e-8e9a-9616a004b8d2, 832cadc2-fd9b-4b7c-ba9b-8646080f2159): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, e337b512-7915-4c80-8e85-5e22f099cfbd): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, 8816ca6f-f9fe-4575-ad5f-281266961543): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, 48dc464e-36b6-463b-869c-bd342bb5c3cf): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, 8e7b5f70-3b84-4beb-af3c-51902d1d270c): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (0120219d-d0a8-436b-9355-ba03f9efac2a, 2842c26a-ed97-4265-9b33-1e27fed240a7): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (0120219d-d0a8-436b-9355-ba03f9efac2a, 5ff88ea9-e402-4fbc-b7c8-3c159f8e4851): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, 7fd58250-ecf8-4d3a-b989-5be46532d2e8): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, f82079b2-47d8-42c4-a622-e936e4d36a73): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, e36c8e00-bf84-4ed4-ab65-e6f0bb3a727f): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, bbf6b9dd-d195-440d-9164-e025fcb21ea1): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, 97a94ab4-ede2-4d0b-835e-68ab1ed614bc): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, a3ab5cc9-9d49-48f2-bb58-a3bc74576e03): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (0120219d-d0a8-436b-9355-ba03f9efac2a, 5137d8a8-2f09-4e6c-9c2b-f3ef76bdabab): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, ffe5c018-c9fc-46c4-a171-af6017bd46ae): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, a87d1c30-9897-45aa-bb17-e5d239c8e489): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (010b5760-a4d2-4551-a87d-792dfbbadd35, f4f010a2-a22b-4003-8250-8b1003269ee9): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (0120219d-d0a8-436b-9355-ba03f9efac2a, 60f5ef27-70a0-431e-ba0a-d39f09e9805c): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (0120219d-d0a8-436b-9355-ba03f9efac2a, 75697f53-8250-49fd-a728-c4b685b8b158): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (0120219d-d0a8-436b-9355-ba03f9efac2a, 742b475c-5e23-4af3-ad45-e03c2b6241af): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (0120219d-d0a8-436b-9355-ba03f9efac2a, d5930353-b2ef-432b-8909-6f9251ea322d): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (0120219d-d0a8-436b-9355-ba03f9efac2a, 8d6be3ba-61df-4a55-9198-1a4ae4c6456c): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (0120219d-d0a8-436b-9355-ba03f9efac2a, 8041de72-244d-4e75-a0ed-60762d6232c9): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (018ba3b4-f5d4-441f-b91e-a09522278564, 111c2e32-8963-4f54-aee1-c59549b69fb7): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (018ba3b4-f5d4-441f-b91e-a09522278564, 1b0bd9e3-3a6e-4671-b995-c7433dd8ce29): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (018ba3b4-f5d4-441f-b91e-a09522278564, 1f71ed16-b44c-4df8-8a0b-51eee8162649): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (018ba3b4-f5d4-441f-b91e-a09522278564, 2c96004e-d4a6-4487-8f11-7613ef5fdcf8): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (018ba3b4-f5d4-441f-b91e-a09522278564, c5a58b56-cb24-4856-af70-371e40d1765e): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (0120219d-d0a8-436b-9355-ba03f9efac2a, f4b26bc3-9186-4ce8-b90a-11ed041a3d0c): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (018ba3b4-f5d4-441f-b91e-a09522278564, 5069559f-cd6e-4560-821d-75ea059c0fb0): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (018ba3b4-f5d4-441f-b91e-a09522278564, db011f13-f77f-48b8-9636-bf8b69f26887): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (018ba3b4-f5d4-441f-b91e-a09522278564, f6df36c5-2cc7-4de3-a4f8-2edb0c8179ac): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01c71050-bb39-4d89-bece-35f147b3dfc7, 03af2011-27cd-4e91-9e6e-4c2aa75b8e0f): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01c71050-bb39-4d89-bece-35f147b3dfc7, 30603026-45d3-4b21-ad26-2c18785123c0): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (018ba3b4-f5d4-441f-b91e-a09522278564, c5fcbc83-12cf-4770-9c34-68f4c5ee5e4e): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (018ba3b4-f5d4-441f-b91e-a09522278564, 568654c5-516a-42ae-a1a8-53a753750dd3): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (018ba3b4-f5d4-441f-b91e-a09522278564, 93ef4f15-ec7b-498a-a349-2d4f987b6b5e): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01c71050-bb39-4d89-bece-35f147b3dfc7, 3e9667f9-d264-47da-a2ff-3836b04ce350): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01c71050-bb39-4d89-bece-35f147b3dfc7, 570b465a-d786-45c3-a615-1d05e6d6a9de): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01c71050-bb39-4d89-bece-35f147b3dfc7, a298090b-0684-4541-9cff-935c92f12cf5): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01c71050-bb39-4d89-bece-35f147b3dfc7, 7ae22fb2-949b-4c4c-b670-0e95578d6f3b): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01c71050-bb39-4d89-bece-35f147b3dfc7, 7b061fc5-a84b-4342-b590-cffe70575eab): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01c71050-bb39-4d89-bece-35f147b3dfc7, 6084f442-027c-4031-a074-b532ab3ff1f7): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01c71050-bb39-4d89-bece-35f147b3dfc7, 9cceb8ec-d06a-4c53-8dd7-0459b08fb718): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01c71050-bb39-4d89-bece-35f147b3dfc7, d570c328-02c4-4f0c-8a7c-386c352ee01f): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01c71050-bb39-4d89-bece-35f147b3dfc7, f9e058c9-114b-48b7-b61e-6a0bc2db0721): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01ce5d71-2547-4654-9772-82d9b832a564, 1bbf7cf6-87bf-4b63-a97a-55757c6f4a31): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01c71050-bb39-4d89-bece-35f147b3dfc7, 9700a144-5232-4613-8584-635ecb68e9bb): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01ce5d71-2547-4654-9772-82d9b832a564, 40926afa-756e-4403-b296-33a532c52a01): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01ce5d71-2547-4654-9772-82d9b832a564, 2794ae03-0e7c-47f4-baa9-a415183d6d0a): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01ce5d71-2547-4654-9772-82d9b832a564, 062a7b35-3827-49f5-8f3a-67c9ff79eaa3): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01ce5d71-2547-4654-9772-82d9b832a564, 41fe1df6-d7ac-44d6-840c-3c2b0fba455e): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01c71050-bb39-4d89-bece-35f147b3dfc7, b019453e-1509-4208-ac9f-20b9351c18c4): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01c71050-bb39-4d89-bece-35f147b3dfc7, ee6542a6-ea7e-48a2-9ac4-402b9f8268fe): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01ce5d71-2547-4654-9772-82d9b832a564, 3a937c85-db14-4878-9b22-bb0bc5e00f46): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01ce5d71-2547-4654-9772-82d9b832a564, 0a13dbde-885f-4499-87a8-894df2d15082): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01ce5d71-2547-4654-9772-82d9b832a564, 46fdd79c-0e24-47a0-87a5-74a84e522c63): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01ce5d71-2547-4654-9772-82d9b832a564, 6a3157da-dde7-4382-982e-ff35dc260f5a): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01ce5d71-2547-4654-9772-82d9b832a564, 76f7605c-56d7-4d33-beac-8cac4903caaa): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01c71050-bb39-4d89-bece-35f147b3dfc7, c9acb820-c9ab-4e29-8968-bc26a92e5ed0): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01ce5d71-2547-4654-9772-82d9b832a564, b8906d8f-cb14-4c58-b786-dad6f5b9612e): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01ce5d71-2547-4654-9772-82d9b832a564, 5c7ba688-6020-435d-8a80-ea19dacf613a): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01ce5d71-2547-4654-9772-82d9b832a564, ba70d711-679a-4cea-9bfa-8fc1cf6bd499): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01ce5d71-2547-4654-9772-82d9b832a564, c09d244f-ea32-4d40-87f4-1450f0e2c7c7): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01f19b87-c9ba-463e-b3b9-12373bdc4224, 346ff8ea-7c57-452e-b8ba-f4b4dcead14f): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01f19b87-c9ba-463e-b3b9-12373bdc4224, 593b3b0a-77ea-413a-b426-2600a1c0e830): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01ce5d71-2547-4654-9772-82d9b832a564, 7e23b9a6-15de-4294-9c87-11010e942892): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01f19b87-c9ba-463e-b3b9-12373bdc4224, 465c49b0-df40-4855-8a9c-941af42f73db): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01ce5d71-2547-4654-9772-82d9b832a564, bf94814a-0247-4601-9802-2b6838e10d56): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01f19b87-c9ba-463e-b3b9-12373bdc4224, 64d39bb6-224d-42f0-876d-20101233953c): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01f19b87-c9ba-463e-b3b9-12373bdc4224, 9864ba22-a004-4713-acf1-6d1c9dfb512a): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
API Error for pair (01f19b87-c9ba-463e-b3b9-12373bdc4224, c67f01e3-3389-457a-9a38-8eebe323b552): BadRequestError - Error code: 400 - {'error': {'message': 'invalid model ID', 'type': 'invalid_request_error', 'param': None, 'code': None}}
